card_id,figure_id,buy_id,package_id,figure_type,country,mainname,last_name,player_position,birth,weight,height,amount_doubles
177,IRN_13,7,1,player,Ir Iran,Saeid,Ezatolahi,middle,1996-10-01,78.0,1.90,0
181,MEX_14,7,2,player,Mexico,Érick,Gutiérrez,middle,1995-06-15,70.0,1.78,0
182,AUS_16,7,2,player,Australia,Martin,Boyle,attack,1993-04-25,53.0,1.72,0
183,FRA_04,7,2,player,France,Mike,Maignan,keeper,1995-07-03,91.0,1.91,1
185,FWC_27,7,2,FIFA Museum,,France 1998,,,,,,0
187,POR_07,7,3,player,Portugal,Nuno,Mendes,defense,2002-06-19,70.0,1.76,0
188,AUS_02,7,3,shield,Australia,Team logo,,,,,,0
189,SUI_17,7,3,player,Switzerland,Breel,Embolo,attack,1997-02-14,84.0,1.85,0
191,MAR_11,7,4,player,Morocco,Sofyan,Amrabat,middle,1996-08-21,70.0,1.83,2
193,POL_18,7,4,player,Poland,Arkadiusz,Milik,attack,1994-02-28,78.0,1.86,0
195,KOR_05,7,4,player,Korea Republic,Chul,Hong,defense,1990-09-17,70.0,1.76,0
196,BEL_14,7,5,player,Belgium,Youri,Tielemans,middle,1997-05-07,72.0,1.76,2
197,SEN_02,7,5,shield,Senegal,Team logo,,,,,,1
198,FRA_15,7,5,player,France,Wissam,Ben Yedder,attack,1990-08-12,68.0,1.70,2
199,SUI_14,7,5,player,Switzerland,Granit,Xhaka,middle,1992-09-27,82.0,1.85,2
200,URU_18,7,5,player,Uruguay,Darwin,Núñez,attack,1999-06-24,78.0,1.87,0
203,GHA_19,7,6,player,Ghana,Issahaku,Abdul Fatawu,attack,2004-03-08,72.0,1.77,0
204,GER_15,7,6,player,Germany,Joshua,Kimmich,middle,1995-02-08,73.0,1.76,0
206,IRN_10,7,6,player,Ir Iran,Sadegh,Moharrami,defense,1996-03-01,71.0,1.74,0
208,MAR_10,7,7,player,Morocco,Selim,Amallah,middle,1996-11-15,82.0,1.86,0
210,SRB_03,7,7,player,Serbia,Predrag,Rajković,keeper,1995-10-31,85.0,1.91,0
212,NED_07,7,8,player,Netherlands,Stefan,de Vrij,defense,1992-02-05,78.0,1.89,0
213,ESP_10,7,8,player,Spain,Gavi,,middle,2004-08-05,68.0,1.73,0
216,ECU_09,7,8,player,Ecuador,Ángelo,Preciado,defense,1998-02-18,73.0,1.73,0
217,CRC_20,7,9,player,Costa Rica,Johan,Venegas,attack,1988-11-27,76.0,1.83,1
218,WAL_06,7,9,player,Wales,Ben,Davies,defense,1993-04-24,76.0,1.81,0
220,POR_20,7,9,player,Portugal,Gonçalo,Guedes,attack,1996-11-29,73.0,1.79,0
221,BEL_04,7,9,player,Belgium,Simon,Mignolet,keeper,1988-03-06,87.0,1.93,0
223,MEX_12,7,10,player,Mexico,Jesús,Manuel Corona,middle,1993-01-06,62.0,1.73,0
224,SRB_09,7,10,player,Serbia,Nemanja,Gudelj,middle,1991-11-16,73.0,1.87,0
225,URU_16,7,10,player,Uruguay,Matías,Vecino,middle,1991-11-16,81.0,1.87,0
226,GER_02,7,10,shield,Germany,Team logo,,,,,,0
227,TUN_15,8,1,player,Tunisia,Ferjani,Sassi,middle,1992-03-18,80.0,1.86,1
229,AUS_04,8,1,player,Australia,Andrew,Redmayne,middle,1996-09-20,70.0,1.77,0
231,KOR_11,8,1,player,Korea Republic,In-beom,Hwang,middle,1996-09-20,70.0,1.77,1
233,AUS_08,8,2,player,Australia,Joel,King,defense,2000-10-30,78.0,1.80,2
236,ECU_05,8,2,player,Ecuador,Robert,Arboleda,defense,1991-10-22,85.0,1.87,1
237,TUN_20,8,3,player,Tunisia,Naïm,Sliti,attack,1992-07-27,75.0,1.73,1
238,FWC_09,8,3,stadium,,Al Janoub,,,,,,2
239,MEX_15,8,3,player,Mexico,Héctor,Herrera,middle,1990-04-19,78.0,1.85,1
243,GER_03,8,4,player,Germany,Manuel,Neuer,keeper,1986-03-27,92.0,1.93,1
244,SRB_20,8,4,player,Serbia,Dušan,Vlahović,attack,2000-01-28,75.0,1.90,0
245,CMR_17,8,4,player,Cameroon,Stéphane,Bahoken,attack,1992-05-28,88.0,1.85,2
249,SUI_08,8,5,player,Switzerland,Ricardo,Rodríguez,defense,1992-08-25,77.0,1.82,0
251,QAT_19,8,5,player,Qatar,Almoez,Ali,attack,1996-08-19,68.0,1.80,0
252,ENG_18,8,6,player,England,Harry,Kane,attack,1993-07-28,85.0,1.88,0
253,JPN_17,8,6,player,Japan,Junya,Ito,attack,1993-03-09,66.0,1.76,0
254,ENG_04,8,6,player,England,Aaron,Ramsdale,keeper,1998-05-14,77.0,1.88,1
255,MAR_16,8,6,player,Morocco,Ayoub,El Kaabi,attack,1993-06-25,72.0,1.82,0
257,URU_19,8,7,player,Uruguay,Facundo,Pellistri,attack,2001-12-20,69.0,1.74,1
258,BEL_01,8,7,squad,Belgium,Team shot,,,,,,1
259,MEX_16,8,7,player,Mexico,Diego,Lainez,middle,2000-06-09,58.0,1.68,1
264,ARG_07,8,8,player,Argentina,Nicolás,Otamendi,defense,1988-02-12,81.0,1.83,0
266,URU_15,8,8,player,Uruguay,Federico,Valverde,middle,1998-07-22,78.0,1.82,1
267,GER_08,8,9,player,Germany,David,Raum,defense,1998-04-22,75.0,1.80,1
268,KOR_03,8,9,player,Korea Republic,Seung-gyu,Kim,keeper,1990-09-30,84.0,1.87,0
269,MEX_19,8,9,player,Mexico,Raúl,Jiménez,attack,1991-05-05,76.0,1.90,1
271,SEN_15,8,9,player,Senegal,Nampalys,Mendy,middle,1992-06-23,73.0,1.67,3
275,MAR_18,8,10,player,Morocco,Ryan,Mmaee,attack,1997-11-01,85.0,1.88,0
276,POR_09,8,10,player,Portugal,Raphaël,Guerreiro,defense,1993-12-22,71.0,1.70,1
277,GHA_04,9,1,player,Ghana,Richard,Ofori,keeper,1993-11-01,99.0,1.90,0
279,ESP_15,9,1,player,Spain,Sergio,Busquets,middle,1988-07-16,76.0,1.89,0
281,URU_14,9,1,player,Uruguay,Lucas,Torreira,middle,1996-02-11,64.0,1.68,0
282,CRO_07,9,2,player,Croatia,Josip,Juranović,defense,1995-08-16,68.0,1.75,1
283,DEN_12,9,2,player,Denmark,Christian,Eriksen,middle,1992-02-14,76.0,1.82,0
284,BRA_15,9,2,player,Brazil,Antony,,attack,2000-02-24,63.0,1.74,0
286,TUN_03,9,2,player,Tunisia,Bechir,Ben Saïd,keeper,1994-11-29,80.0,1.88,0
294,ECU_10,9,4,player,Ecuador,Félix,Torres,defense,1997-01-11,78.0,1.87,1
295,KOR_18,9,4,player,Korea Republic,Chang-hoon,Kwon,attack,1994-06-30,66.0,1.74,0
296,ESP_08,9,4,player,Spain,Aymeric,Laporte,defense,1994-05-27,85.0,1.89,0
