card_id,figure_id,buy_id,package_id,figure_type,country,mainname,last_name,player_position,birth,weight,height,amount_doubles
394,ESP_09,11,5,player,Spain,Pau,Torres,defense,1997-01-16,80.0,1.91,0
397,MAR_09,11,5,player,Morocco,Romain,Saïss,defense,1990-03-26,84.0,1.88,0
448,WAL_02,11,1,shield,Wales,Team logo,,,,,,0
449,BRA_12,11,2,player,Brazil,Fabinho,,middle,1993-10-23,78.0,1.88,0
451,DEN_15,11,4,player,Denmark,Daniel,Wass,middle,1989-05-31,74.0,1.81,0
401,TUN_06,12,1,player,Tunisia,Mohamed,Dräger,defense,1996-06-25,74.0,1.78,0
402,BEL_07,12,1,player,Belgium,Jason,Denayer,defense,1995-06-28,80.0,1.84,0
405,BRA_17,12,2,player,Brazil,Neymar,Jr,attack,1992-02-05,68.0,1.75,0
407,FRA_19,12,2,player,France,Kylian,Mbappé,attack,1998-12-20,73.0,1.78,0
408,GHA_14,12,3,player,Ghana,Thomas,Partey,middle,1993-06-13,77.0,1.85,0
410,BEL_06,12,3,player,Belgium,Timothy,Castagne,defense,1995-12-05,80.0,1.85,1
415,MEX_04,12,4,player,Mexico,Alfredo,Talavera,keeper,1982-09-18,80.0,1.88,1
417,ENG_06,12,4,player,England,Conor,Coady,defense,1993-02-25,80.0,1.86,0
419,GHA_05,12,5,player,Ghana,Daniel,Amartey,defense,1994-12-21,79.0,1.86,0
422,FWC_25,12,5,FIFA Museum,,Italy 1982,,,,,,0
423,POR_11,12,6,player,Portugal,Bernardo,Silva,middle,1994-08-10,64.0,1.73,0
424,MEX_20,12,6,player,Mexico,Hirving,Lozano,attack,1995-07-30,70.0,1.77,0
425,FWC_15,12,6,stadium,,Al Bayt indoor,,,,,,0
429,MAR_08,12,7,player,Morocco,Samy,Mmaee,defense,1996-09-06,82.0,1.88,0
432,KOR_09,12,7,player,Korea Republic,Jin-su,Kim,defense,1992-06-13,68.0,1.77,0
433,SUI_03,12,8,player,Switzerland,Yann,Sommer,keeper,1988-12-17,79.0,1.83,0
434,KSA_18,12,8,player,Saudi Arabia,Firas,Al-Buraikan,attack,2000-05-14,80.0,1.81,0
441,GER_11,12,9,player,Germany,Leon,Goretzka,middle,1995-02-06,79.0,1.89,0
443,IRN_02,12,10,shield,Ir Iran,Team logo,,,,,,0
444,SUI_06,12,10,player,Switzerland,Nico,Elvedi,defense,1996-09-30,78.0,1.89,0
447,BEL_20,12,10,player,Belgium,Dries,Mertens,attack,1987-05-06,61.0,1.69,0
452,FWC_13,13,1,stadium,,Stadium 974,,,,,,0
453,ESP_17,13,1,player,Spain,Ansu,Fati,attack,2002-10-31,66.0,1.78,0
454,MAR_20,13,1,player,Morocco,Tarik,Tissoudali,attack,1993-04-02,70.0,1.82,0
455,BEL_11,13,1,player,Belgium,Kevin,De Bruyne,middle,1991-06-28,68.0,1.81,0
456,AUS_06,13,1,player,Australia,Miloš,Degenek,defense,1994-04-28,82.0,1.87,0
460,SEN_03,13,2,player,Senegal,Édouard,Mendy,keeper,1992-03-01,93.0,1.97,0
461,CRC_19,13,2,player,Costa Rica,Gerson,Torres,attack,1997-08-28,71.0,1.76,0
462,FWC_12,13,3,stadium,,Khalifa International,,,,,,0
463,SUI_15,13,3,player,Switzerland,Denis,Zakaria,middle,1996-11-20,80.0,1.90,0
464,CAN_11,13,3,player,Canada,Tajon,Buchanan,middle,1999-02-08,71.0,1.83,0
465,ARG_14,13,3,player,Argentina,Guido,Rodríguez,middle,1994-04-12,80.0,1.85,0
467,POL_01,13,4,squad,Poland,Team shot,,,,,,0
468,SUI_20,13,4,player,Switzerland,Ruben,Vargas,attack,1998-08-05,68.0,1.79,0
473,NED_03,13,5,player,Netherlands,Justin,Bijlow,keeper,1998-01-22,84.0,1.90,0
474,DEN_10,13,5,player,Denmark,Mikkel,Damsgaard,middle,2000-07-03,71.0,1.80,0
